Bilancio demografico anno 2019 - Novembre (dati provvisori)

Codice Regione,Regioni,Popolazione inizio periodo,Nati Vivi,Morti,Saldo Naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,Totale
Abruzzo,1305283,715,1182,-467,3234,3080,154,0,1304970,
Basilicata,558419,318,488,-170,686,902,-216,0,558033,
Trentino-Alto Adige Bolzano,1075466,738,743,-5,3152,2917,235,0,1075696,
Calabria,1935414,1145,1571,-426,3295,3973,-678,0,1934310,
Campania,5774465,3960,4225,-265,11567,13142,-1575,0,5772625,
Emilia-Romagna,4468023,2653,4002,-1349,13992,11098,2894,0,4469568,
Friuli-Venezia Giulia,1211468,605,1082,-477,3179,3086,93,0,1211084,
Lazio,5864321,3530,4736,-1206,13475,12805,670,0,5863785,
Liguria,1544781,806,1737,-931,4258,3393,865,0,1544715,
Lombardia,10085021,6268,8130,-1862,33586,28261,5325,0,10088484,
Marche,1518840,797,1350,-553,4001,3492,509,0,1518796,
Molise,302931,162,285,-123,655,749,-94,0,302714,
Piemonte,4347393,2377,4410,-2033,13569,11975,1594,0,4346954,
Puglia,4009865,2318,3089,-771,5786,6110,-324,0,4008770,
Sardegna,1632047,778,1354,-576,3193,3318,-125,0,1631346,
Sicilia,4969147,3333,4045,-712,8260,9897,-1637,0,4966798,
Toscana,3727524,2069,3480,-1411,9867,8959,908,0,3727021,
Trentino-Alto Adige,1075466,738,743,-5,3152,2917,235,0,1075696,
Umbria,878802,496,818,-322,1844,1784,60,0,878540,
Valle d'Aosta/Vallée d'Aoste,125315,51,109,-58,468,425,43,0,125300,
Veneto,4908881,2824,4029,-1205,14496,13159,1337,0,4909013,
TOTALE ITALIA,60243406,35943,50865,-14922,152563,142525,10038,0,60238522,

# fixed perche' ho ordinato le regioni come nei dati della protezione civile

